ID,Clasificación,Oración
6215,Compuesta-Compleja,"Ya tenemos posgrados en denunciología y lamentos, ahora tenemos que crear, inventar, buscar los caminos para nuevas teorías, programas, planes, y nuevos caminos que redunden en sociedades más justas, más equitativas."
6216,Compleja,"Ese mismo año fue nombrado catedrático de historia eclesiástica, asignatura que empezará a impartir como profesor en el Seminario Diocesano de Ciudad Real hasta 1905;"
6217,Compuesta-Compleja,"Buscaba el pintor experimentar las leyes de su pintura, construir la verdad con sus propios medios artísticos."
6218,Simple,"El primer grupo se caracteriza por polen sin espinas, cromosomas medios a grandes, flores de simetría radial, y en el filamento pelos (cuando presentes) moniliformes."
6219,Compuesta-Compleja,"Este convento, muestra una combinación de estilos Plateresco, Morisco, Mudéjar, Gótico, Románico y Renacentista, cuenta con un ejemplo único de capilla abierta íntegramente cubierta de murales al fresco de 17 m de alto."
6220,Simple,Entre estos últimos destacan dos cabezas de piedra de la abadía de Saint - Denis.
6221,Simple,"En la actualidad se conservan muros, carpinterías, herrajes y rejas de la fachada originales."
6222,Compleja,"Horthy comenzó a presionar al gobierno, donde los legitimistas eran mayoritarios, y a la asamblea, permitiendo la difusión de rumores que afirmaban su intención de dar un golpe de Estado si no era elegido como regente."
6223,Simple,También estaba en la tripulación de Yamamoto.
6224,Compleja,"En la batalla de Lutos (llodos en asturiano, ciénagas en castellano), se inflige una dura derrota a los árabes y bereberes que querían acabar con la creciente amenaza que suponía el ya reino."
6225,Compuesta-Compleja,"Una fuerza de infantes de marina desembarcó del acorazado para tomar la fortaleza, pero los polacos que la defendían resistieron el asedio siete días, hasta las 10:30 del día 8."
6226,Compuesta-Compleja,"Hace bien poco que los controladores aéreos se declararon en huelga y no faltaron empresarios que pusieron el grito en el cielo contra los ""privilegiados"" que se ponen en huelga y ""secuestran un país"" porque tienen en su mano un servicio público como los aeropuertos."
6227,Simple,"El cielo y la tierra (Heaven & Earth en inglés) es una película bélica de 1993 con producción estadounidense y francesa dirigida y escrita por Oliver Stone, y protagonizada por Tommy Lee Jones, Haing S. Ngor, Joan Chen y Hiep Thi Le."
6228,Compleja,"Planet of Dinosaurs, es una es una película de ciencia ficción estadounidense de 1978, dirigida por James K. Shmea."
6229,Compleja,"Pero, durante la pre - temporada para afrontar el Torneo de Clausura 2012, sufrió una rotura total del ligamento cruzado anterior, lo que lo dejó fuera de la canchas durante seis meses."
6230,Compuesta,Delineó el pueblo y ordenó sus primeras calles.
6231,Compleja,"A partir de esta fecha Johnson decidió centrarse definitivamente en los 400 m en busca de la plusmarca mundial de esa prueba, lo único que le faltaba por lograr."
6232,Simple,Por favor sean puntuales.
6233,Compuesta,Se me estropeo el disco duro de un dia para otro pero gracias a inforescate recupere los datos rapidamente y pude terminar mi trabajo.
6234,Compuesta-Compleja,"El condado posee un área de 1.371 km² (los cuales 6 km² están cubiertos por agua), la población de 54.500 habitantes, y la densidad de población es de 40 hab / km² (según censo nacional de 2000)."
6235,Compleja,"La variedad de sus letras abarca desde situaciones cotidianas hasta pasajes más intimistas, que reflejan el sentir del grupo y su filosofía de vida."
6236,Simple,Esto era secreto a voces en el Búnker.
6237,Compleja,"""Volveré antes de verano para sacar conclusiones estructurales de lo que se ha hecho"", prometió."
6238,Compleja,"Esto será nuestra tercera gira con Kylie y en este momento, hemos vuelto a visitar nuestras icónicas piezas de Dolce & Gabbana, adaptándolos a los diferentes temas de la gira."
6239,Compuesta-Compleja,"Estaba convencido de que había acertado con la elección de esas flores y que a pesar de que me cobraron a mi parecer bastante más de lo que valían, me había quedado satisfecho."
6240,Compuesta,"De los 1628 habitantes, Rock Creek estaba compuesto por el 96.99 % blancos, el 0.37 % eran afroamericanos, el 0.74 % eran amerindios, el 0.55 % eran asiáticos, el 0 % eran isleños del Pacífico, el 0.12 % eran de otras razas y el 1.23 % pertenecían a dos o más razas."
6241,Compuesta-Compleja,"Pero los remeros de Cambridge no habían dicho su última palabra, ya mitad de la carrera, parecieron rehacerse para recuperar algo de la desventaja, tanto que consiguieron emparejarse con los los universitarios de Oxford y empezar a sacarles algo de ventaja."
6242,Simple,En 2010 fue sede del ejercicio Ícaro de combate aéreo.
6243,Simple,"De cualquier modo, esto no siempre es el caso."
6244,Compleja,"Es un género de música popular desarrollado en varios países, generalmente durante alguna festividad como Carnaval, fiestas patronales, aniversarios de fundación o eventos deportivos."
6245,Compleja,Yo pertenezco a una generación que no ha atravesado aún el mundo de los libros.
6246,Compleja,"El mantel estaba sucio de migas de pan, el trato deja mucho que desear, antes de servir comida, deberian ofrecerla con un poco de educacion."
6247,Compuesta-Compleja,Las sabinas lograron hacerlos entrar en razón y finalmente se celebró un banquete para festejar la reconciliación.
6248,Compleja,Si alguien quiere hacer visitas por esa zona os los aconsejo.
6249,Compleja,Se trata del primer juicio por desacato vinculado a internet en el Reino Unido.
6250,Compleja,"Muy triste, pero - insisto - esa tristeza no tiene poder para cerrarle el paso a nuestra lucha por la felicidad, el bienestar común y la belleza humana."
6251,Compuesta,Vastos latifundios son requisados y asignados a exponentes de la aristocracia romana.
6252,Compleja,"A lo largo de las décadas de 1980 y 1990, Taylor fue un jugador peligroso como linebacker externo, y se le acredita que provocó cambios en los esquemas de los equipos defensivos, los esquemas preventivos de la línea ofensiva y las formaciones ofensivas usadas en la NFL."
6253,Simple,"Activision Blizzard ""ha liderado las posiciones del mercado en todas las categorías"" de la industria de los videojuegos."
6254,Simple,Describía con mucho detalle las fiestas y manifestaciones culturales diversas.
6255,Compleja,Destacó que esta vigilancia se realizará en Veracruz y en otros estados que sean gobernados por lo que calificó como caciques.
6256,Unimembre,Escritor estadounidense.
6257,Indeterminada (múltiples verbos sin subordinación/coordinación clara),"De los 587 habitantes, Salt Creek estaba compuesto por el 67.29 % blancos, el 0 % eran afroamericanos, el 4.09 % eran amerindios, el 0 % eran asiáticos, el 0 % eran isleños del Pacífico, el 26.41 % eran de otras razas y el 2.21 % pertenecían a dos o más razas."
6258,Compleja,"Por desgracia, el 3 de octubre de 1889 sufrió un terrible incendio que lo dejó en muy mal estado."
6259,Simple,A esta obra le siguieron varias comedias ligeras.
6260,Simple,Gymnosarda unicolor es una especie de peces de la familia Scombridae en el orden de los Perciformes.
6261,Compleja,"Se trataba de Rocky Belmonte, un cantante que empezaba a hacer sus pininos como presentador de televisión."
6262,Compuesta,Suena la mejor música del momento y además tiene muy buenos precios.
6263,Indeterminada (múltiples verbos sin subordinación/coordinación clara),"Ha sido reconocido con los premios Premio II Salón Nacional de Pequeño Formato de la Galería de Arte Universal, Camagüey, y Premio / Mención 12 º Salón de Artes Plásticas Regino E. Boti en el Centro Provincial de Arte de Guantánamo, entre otros."
6264,Simple,Del total de la población el 0.85 % eran hispanos o latinos de cualquier raza.
6265,Simple,"Limita al norte con los distritos de Neuchâtel (NE) y Seeland (BE), al noreste con See (FR) y Berna - Mittelland (BE), al este con Broye (FR), al sureste con Glâne (FR), al sur con Lavaux - Oron, al suroeste con Gros - de - Vaud, y al oeste con Jura - Nord vaudois y Boudry (NE)."
6266,Compleja,Es necesario identificar el agente causante para poder tratar la inflamación.
6267,Indeterminada (múltiples verbos sin subordinación/coordinación clara),"De los 2.513 habitantes, Bal Harbour estaba compuesto por el 94.99 % blancos, el 2.11 % eran afroamericanos, el 0.12 % eran amerindios, el 0.88 % eran asiáticos, el 0.04 % eran isleños del Pacífico, el 0.8 % eran de otras razas y el 1.07 % pertenecían a dos o más razas."
6268,Compleja,"Los medicamentos que tratan enfermedades graves solamente se pueden expender con prescripción facultativa, mientras que los productos homeopáticos que dicen tratar esas mismas enfermedades no tienen esta limitación, porque no son considerados medicinas."
6269,Simple,"(Los Équites, serían los futuros caballeros medievales y el condestable el sucesor del Magister equitum)."
6270,Compleja,"La enfermedad tiene varias fases que pueden ir desde el asma bronquial leve e intermitente, hasta el asma persistente y severa."
6271,Compleja,"Este libro consiste en el análisis lógico de muchos de los conceptos presentes ya en los libros anteriores, por lo cual se cree que también constituye una adición posterior al Canon Pali."
6272,Simple,Los efectos de la pesca y de la silvicultura son mínimos en la economía del estado.
6273,Compuesta-Compleja,"Los bungalows no tienen AC y si hace calor la pasas muy mal, lleno de mosquitos."
6274,Simple,Despues se quejan de las descargas de internet y el poco trabajo.
6275,Indeterminada (múltiples verbos sin subordinación/coordinación clara),"De la población total bajo el nivel de pobreza, el 5,1 % son menores de 18 y el 9,0 % son mayores de 65 años."
6276,Compleja,Ambos tuvieron una participaron destacada en su regimiento durante la campaña abierta por ejército de Andalucía contra las tropas de Napoleón Bonaparte en Bailén.
6277,Compleja,"En 1802 deja el ejército, pasando a trabajar como funcionario de la administración imperial en Alemania, Austria y Rusia, pero sin participar en las batallas del ejército napoleónico."
6278,Simple,"También trabajó con Connors en el show de ABC The Rifleman, en el episodio ""Hostages to Fortune"" (1963)."
6279,Compleja,Reaparece en el máximo circuito el 8 de julio de 1956 perdiendo ante el Zacatepec por 2-1.
6280,Compleja,"La isla está cubierta, en su parte central y meridional, por dos macizos montañosos erosionados, de orientación este - oeste."
6281,Compleja,Tienen una gran flota para atender a cualquier tipo de vehiculo y en cualquier condicion.
6282,Compuesta-Compleja,"Con el Thunderbird 2 fuera de servicio debido a un ataque accidental de la Armada, ¿cómo Gordon transportará el Thunderbird 4 a Nueva York navegar un río subterráneo y salvar a los hombres antes de que su refugio sea completamente inundado?"
6283,Compleja,Andrés Iniesta es uno de esos jugadores que todo equipo quisiera tener.
6284,Compleja,"Los cargos han sido presentados contra funcionarios del gobierno por violaciones del pasado, incluyendo a miembros de la llamada Caravana de la Muerte, el ex director de la DINA General Manuel Contreras, y el oficial retirado de seguridad Rafael González (por el asesinato de Charles Horman)."
6285,Simple,La bejuca o bejuquillo café es una culebra delgada y alargada.
6286,Compuesta-Compleja,"Entonces, el 12 de abril Shane expulsó a Vince, Pat Patterson y Gerald Brisco de The Corporation con el pretexto de que no había lugar para viejos en la Corporación y Vince había perdido sus prioridades."
